IcomparisonTask2															
6/29/15	10:11:06 AM														
															
Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction		
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 45"	"numberLR (45, 76)"	Button 7			7	Pressed	right; Button 7	C	515		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 22"	"numberLR (22, 37)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	478		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 20"	"numberLR (20, 34)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	904		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 16"	"numberLR (16, 29)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	416		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 40"	"numberLR (40, 69)"	Button 7			7	Pressed	right; Button 7	C	397		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 32"	"numberLR (32, 49)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	664		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 33"	"numberLR (33, 61)"	Button 7			7	Pressed	right; Button 7	C	395		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 27"	"numberLR (27, 43)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	392		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 28"	"numberLR (28, 44)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	390		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 37"	"numberLR (37, 66)"	Button 7			7	Pressed	right; Button 7	C	372		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 34"	"numberLR (34, 62)"	Button 7			7	Pressed	right; Button 7	C	499		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 14"	"numberLR (14, 27)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	476		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 30"	"numberLR (30, 47)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	422		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 17"	"numberLR (17, 31)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	453		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 57"	"numberLR (57, 91)"	Button 7			7	Pressed	right; Button 7	C	462		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 47"	"numberLR (47, 78)"	Button 7			7	Pressed	right; Button 7	C	473		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 38"	"numberLR (38, 67)"	Button 7			7	Pressed	right; Button 7	C	388		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 49"	"numberLR (49, 81)"	Button 7			7	Pressed	right; Button 7	C	386		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 48"	"numberLR (48, 79)"	Button 7			7	Pressed	right; Button 7	C	447		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 9"	"numberLR (9, 21)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	364		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 8"	"numberLR (8, 19)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	442		incompatible
